date,5–15 min,15–30 min,30–60 min,60–180 min,≥180 min,bucketed_total,lt_5_min,all_gaps_total
2005-08-09,3.0000,,,,0,3.0000,202.0000,205
2005-08-10,,1.0000,,,0,1.0000,168.0000,169
2005-08-11,3.0000,1.0000,,,0,4.0000,164.0000,168
2005-08-14,5.0000,,,,0,5.0000,86.0000,91
2005-08-15,6.0000,1.0000,,,0,7.0000,217.0000,224
2005-08-16,3.0000,1.0000,,,0,4.0000,216.0000,220
2005-08-17,3.0000,1.0000,,,0,4.0000,180.0000,184
2005-08-18,6.0000,1.0000,,,0,7.0000,194.0000,201
2005-08-19,2.0000,,,,0,2.0000,121.0000,123
2005-08-21,3.0000,,,,0,3.0000,102.0000,105
2005-08-22,6.0000,,,,0,6.0000,235.0000,241
2005-08-23,5.0000,,,,0,5.0000,205.0000,210
2005-08-24,,1.0000,,,0,1.0000,181.0000,182
2005-08-25,5.0000,1.0000,,,0,6.0000,178.0000,184
2005-08-28,1.0000,,,,0,1.0000,66.0000,67
2005-08-29,4.0000,,,,0,4.0000,241.0000,245
2005-08-30,3.0000,,,,0,3.0000,162.0000,165
2005-08-31,7.0000,,,,0,7.0000,171.0000,178
2005-09-01,6.0000,1.0000,,,0,7.0000,145.0000,152
2005-09-02,2.0000,,,,0,2.0000,92.0000,94
2005-09-04,2.0000,,,,0,2.0000,91.0000,93
2005-09-06,2.0000,,,,0,2.0000,163.0000,165
2005-09-07,1.0000,,,,0,1.0000,158.0000,159
2005-09-08,4.0000,1.0000,,,0,5.0000,196.0000,201
2005-09-09,1.0000,,,,0,1.0000,88.0000,89
2005-09-11,2.0000,,,,0,2.0000,63.0000,65
2005-09-12,1.0000,1.0000,,,0,2.0000,172.0000,174
2005-09-13,3.0000,,,,0,3.0000,184.0000,187
2005-09-14,3.0000,1.0000,,,0,4.0000,174.0000,178
2005-09-15,3.0000,1.0000,,,0,4.0000,167.0000,171
2005-09-16,1.0000,,,,0,1.0000,89.0000,90
2005-09-18,4.0000,,,,0,4.0000,87.0000,91
2005-09-19,4.0000,1.0000,,,0,5.0000,166.0000,171
2005-09-20,2.0000,,,,0,2.0000,187.0000,189
2005-09-21,2.0000,,,,0,2.0000,144.0000,146
2005-09-22,3.0000,1.0000,,,0,4.0000,176.0000,180
2005-09-23,1.0000,,,,0,1.0000,101.0000,102
2005-09-26,3.0000,,,,0,3.0000,183.0000,186
2005-09-27,1.0000,1.0000,,,0,2.0000,146.0000,148
2005-09-28,2.0000,1.0000,,,0,3.0000,158.0000,161
2005-09-29,3.0000,2.0000,,,0,5.0000,176.0000,181
2005-10-02,6.0000,,,,0,6.0000,48.0000,54
2005-10-03,2.0000,1.0000,,,0,3.0000,180.0000,183
2005-10-04,2.0000,1.0000,,,0,3.0000,178.0000,181
2005-10-05,,1.0000,,,0,1.0000,154.0000,155
2005-10-06,,1.0000,,,0,1.0000,133.0000,134
2005-10-07,4.0000,,,,0,4.0000,109.0000,113
2005-10-09,7.0000,,,,0,7.0000,88.0000,95
2005-10-10,4.0000,,,,0,4.0000,235.0000,239
2005-10-11,3.0000,1.0000,,,0,4.0000,180.0000,184
2005-10-12,4.0000,1.0000,,,0,5.0000,190.0000,195
2005-10-13,1.0000,1.0000,,,0,2.0000,155.0000,157
2005-10-16,3.0000,,,,0,3.0000,61.0000,64
2005-10-17,4.0000,,,,0,4.0000,185.0000,189
2005-10-18,3.0000,,,,0,3.0000,151.0000,154
2005-10-19,3.0000,,,,0,3.0000,127.0000,130
2005-10-20,2.0000,1.0000,,,0,3.0000,141.0000,144
2005-10-23,3.0000,,,,0,3.0000,98.0000,101
2005-10-24,5.0000,,,,0,5.0000,225.0000,230
2005-10-25,7.0000,,,,0,7.0000,155.0000,162
2005-10-26,1.0000,,,,0,1.0000,154.0000,155
2005-10-27,3.0000,1.0000,,,0,4.0000,145.0000,149
2005-10-28,2.0000,,,,0,2.0000,104.0000,106
2005-10-30,4.0000,,,,0,4.0000,80.0000,84
2005-10-31,4.0000,1.0000,,,0,5.0000,205.0000,210
2005-11-01,3.0000,,,,0,3.0000,145.0000,148
2005-11-02,11.0000,1.0000,,,0,12.0000,185.0000,197
2005-11-03,3.0000,1.0000,,,0,4.0000,182.0000,186
2005-11-06,2.0000,,,,0,2.0000,84.0000,86
2005-11-07,1.0000,1.0000,,,0,2.0000,143.0000,145
2005-11-08,4.0000,1.0000,,,0,5.0000,158.0000,163
2005-11-09,2.0000,1.0000,,,0,3.0000,175.0000,178
2005-11-10,4.0000,,,,0,4.0000,180.0000,184
2005-11-11,5.0000,,,,0,5.0000,140.0000,145
2005-11-13,4.0000,,,,0,4.0000,81.0000,85
2005-11-14,7.0000,,,,0,7.0000,190.0000,197
2005-11-15,5.0000,1.0000,,,0,6.0000,153.0000,159
2005-11-16,1.0000,1.0000,,,0,2.0000,181.0000,183
2005-11-17,4.0000,1.0000,,,0,5.0000,166.0000,171
2005-11-20,4.0000,,,,0,4.0000,87.0000,91
2005-11-21,8.0000,1.0000,,,0,9.0000,187.0000,196
2005-11-22,,1.0000,,,0,1.0000,153.0000,154
2005-11-23,7.0000,1.0000,,,0,8.0000,166.0000,174
2005-11-24,5.0000,,,,0,5.0000,130.0000,135
2005-11-25,2.0000,,,,0,2.0000,137.0000,139
2005-11-27,4.0000,,,,0,4.0000,81.0000,85
2005-11-28,4.0000,1.0000,,,0,5.0000,146.0000,151
2005-11-29,5.0000,,,,0,5.0000,177.0000,182
2005-11-30,5.0000,,,,0,5.0000,206.0000,211
2005-12-01,8.0000,1.0000,,,0,9.0000,192.0000,201
2005-12-02,1.0000,,,,0,1.0000,144.0000,145
2005-12-04,2.0000,,,,0,2.0000,106.0000,108
2005-12-05,5.0000,1.0000,,,0,6.0000,222.0000,228
2005-12-06,8.0000,1.0000,,,0,9.0000,199.0000,208
2005-12-07,3.0000,1.0000,,,0,4.0000,223.0000,227
2005-12-08,3.0000,,,,0,3.0000,201.0000,204
2005-12-09,1.0000,,,,0,1.0000,120.0000,121
2005-12-11,1.0000,,,,0,1.0000,79.0000,80
2005-12-12,3.0000,1.0000,,,0,4.0000,181.0000,185
2005-12-13,1.0000,,,,0,1.0000,149.0000,150
2005-12-14,2.0000,1.0000,,,0,3.0000,118.0000,121
2005-12-15,5.0000,1.0000,,,0,6.0000,155.0000,161
2005-12-18,2.0000,,,,0,2.0000,81.0000,83
2005-12-19,4.0000,,,,0,4.0000,199.0000,203
2005-12-20,1.0000,1.0000,,,0,2.0000,176.0000,178
2005-12-21,7.0000,,,,0,7.0000,188.0000,195
2005-12-22,10.0000,,,,0,10.0000,249.0000,259
2005-12-23,5.0000,,,,0,5.0000,152.0000,157
2005-12-26,6.0000,,,,0,6.0000,56.0000,62
2005-12-27,8.0000,1.0000,,,0,9.0000,294.0000,303
2005-12-28,4.0000,1.0000,,,0,5.0000,191.0000,196
2005-12-29,3.0000,,,,0,3.0000,153.0000,156
